Type,Blocks,Time,Mean,,,,,,,,,,,,,,,,,,
Static,6,1366.542101,,,,,,,,,,,,,,,,,,,
Static,6,1086.382627,,,,,,,,,,,,,,,,,,,
Static,6,2028.718233,,,,,,,,,,,,,,,,,,,
Static,6,2211.135149,,,,,,,,,,,,,,,,,,,
Static,6,5213.049889,,,,,,,,,,,,,,,,,,,
Static,6,3781.168461,2614.49941,,,,,,,,,,,,,,,,,,
Static,5,992.9594994,,,,,,,,,,,,,,,,,,,
Static,5,1753.562689,,,,,,,,,,,,,,,,,,,
Static,5,2619.347334,,,,,,,,,,,My Data,,,,,,,,
Static,5,2143.799543,,,,,,,,,,,Type ,Blocks ,Time,,,,,,
Static,5,1043.315649,,,,,,,,,,,Static,6,2614.499,,,,,,
Static,5,1752.610207,1717.599154,,,,,,,,,,Static,5,1717.599,,,,,,
Static,4,1906.445742,,,,,,,,,,,Static,4,2777.613,,,,,,
Static,4,1041.616201,,,,,,,,,,,Static,3,2565.467,,,,,,
Static,4,1692.31391,,,,,,,,,,,Static,2,2130.02,,,,,,
Static,4,5832.630634,,,,,,,,,,,Static,1,1901.186,,,,,,
Static,4,3298.56658,,,,,,,,,,,Dynamic,6,3044.277,,,,,,
Static,4,2894.105673,2777.613123,,,,,,,,,,Dynamic,5,2117.398,,,,,,
Static,3,2723.141909,,,,,,,,,,,Dynamic,4,2749.018,,,,,,
Static,3,2964.748144,,,,,,,,,,,Dynamic,3,2672.438,,,,,,
Static,3,1712.177753,,,,,,,,,,,Dynamic,2,2238.779,,,,,,
Static,3,2190.326214,,,,,,,,,,,Dynamic,1,3015.531,,,,,,
Static,3,2113.795996,,,,,,,,,,,,,,,,,,,
Static,3,3688.611746,2565.46696,,,,,,,,,,,,,,,,,,
Static,2,3235.754728,,,,,,,,,,,,,,,,,,,
Static,2,3321.253061,,,,,,,,,,,,,,,,,,,
Static,2,1944.260836,,,,,,,,,,,,,,My Data: Pointing time =0.460+0.187*log2(30/120+1) = 0.5203ms,,,,,
Static,2,1405.116796,,,,,,,,,,,,,,,,,,,
Static,2,1181.306839,,,,,,,,,,,,,,,,,,,
Static,2,1692.427635,2130.019983,,,,,,,,,,Other Persons data,,,,,,,,
Static,1,3104.532242,,,,,,,,,,,dynamic,1,5.881085674,,,,,,
Static,1,1633.924961,,,,,,,,,,,dynamic,2,3.22062695,,,,,,
Static,1,1913.46097,,,,,,,,,,,dynamic,3,3.759412686,,,,,,
Static,1,1357.285976,,,,,,,,,,,dynamic,4,5.384712577,,,,,,
Static,1,1230.71146,,,,,,,,,,,dynamic,5,6.020707687,,Avg all data,,,,
Static,1,2167.19985,1901.18591,,,,,,,,,,dynamic,6,2.349842747,,dynamic,1,2620.639135,,
,,,,,,,,,,,,,static,1,2.858333685,,dynamic,2,1721.117598,,
,,,,,,,,,,,,,static,2,1.829151789,,dynamic,3,2781.612887,,
,,,,,,,,,,,,,static,3,1.917219202,,dynamic,4,2571.113401,,
,,,,,,,,,,,,,static,4,2.162556847,,dynamic,5,2136.285997,,
,,,,,,,,,,,,,static,5,1.559877634,,dynamic,6,1903.782571,,
,,,,,,,,,,,,,static,6,2.009197156,,static,1,3048.05786,,
,,,,,,,,,,,,,,,,,static,2,2119.918668,,
,,,,,,,,,,,,,,,,,static,3,2751.660857,,
,,,,,,,,,,,,,Another persons data,,,,static,4,2675.149955,,
,,,,,,,,,,,,,Static,1,0.777148,,static,5,2240.90866,,
,,,,,,,,,,,,,Static,2,0.893914,,static,6,3018.341169,,
,,,,,,,,,,,,,Static,3,0.721424,,,,,,
,,,,,,,,,,,,,Static,4,0.785064,,,,,,
,,,,,,,,,,,,,Static,5,0.735868,,,,,,
,,,,,,,,,,,,,Static,6,0.740184,,,,,,
,,,,,,,,,,,,,dynamic,1,2.76758,,,,,,
,,,,,,,,,,,,,dynamic,2,2.074548,,,,,,
,,,,,,,,,,,,,dynamic,3,2.176914,,,,,,
,,,,,,,,,,,,,dynamic,4,1.648194,,,,,,
,,,,,,,,,,,,,dynamic,5,1.709347,,,,,,
,,,,,,,,,,,,,dynamic,6,2.402916,,,,,,
User,325,50,6,3491.88
User,400,90,2,433.67
User,250,175,4,1030.63
User,425,125,6,2113.67
User,350,70,4,1365.06
User,150,90,4,917.93
User,175,30,2,426.04
User,300,150,2,365.08
User,450,100,4,1748.75
User,480,25,2,952.92
User,30,25,6,1816.23
User,200,80,6,1797.06
